iter	Passed	Remaining
151	900	7984
152	904	7966
153	910	7954
154	914	7937
155	919	7923
156	925	7918
157	930	7901
158	934	7882
159	938	7858
160	941	7833
161	945	7811
162	949	7791
163	954	7772
164	957	7749
165	961	7728
166	966	7713
167	970	7691
168	977	7700
169	983	7694
170	986	7670
171	990	7646
172	995	7632
173	998	7610
174	1002	7590
175	1006	7569
176	1010	7551
177	1015	7539
178	1020	7527
179	1028	7539
180	1031	7519
181	1035	7496
182	1038	7476
183	1042	7457
184	1046	7436
185	1049	7413
186	1052	7392
187	1056	7371
188	1060	7353
189	1064	7336
190	1070	7336
191	1076	7334
192	1080	7314
193	1083	7292
194	1086	7273
195	1089	7251
196	1093	7230
197	1096	7210
198	1099	7190
199	1103	7172
200	1106	7153
201	1110	7135
202	1116	7136
203	1122	7130
204	1125	7111
205	1129	7092
206	1133	7077
207	1136	7058
208	1139	7041
209	1143	7025
210	1147	7009
211	1150	6991
212	1154	6975
213	1157	6957
214	1162	6948
215	1167	6940
216	1171	6924
217	1174	6905
218	1177	6888
219	1181	6872
220	1184	6855
221	1187	6837
222	1191	6822
223	1195	6808
224	1198	6793
225	1202	6779
226	1207	6771
227	1212	6766
228	1217	6758
229	1221	6743
230	1224	6727
231	1228	6712
232	1231	6696
233	1235	6685
234	1239	6670
235	1243	6657
236	1247	6650
237	1252	6641
238	1257	6633
239	1261	6625
240	1265	6612
241	1269	6598
242	1273	6585
243	1276	6572
244	1280	6558
245	1284	6545
246	1288	6535
247	1292	6523
248	1297	6518
249	1304	6524
250	1310	6520
251	1316	6517
252	1320	6507
253	1325	6502
254	1329	6490
255	1333	6479
256	1338	6471
257	1342	6460
258	1346	6452
259	1350	6442
260	1355	6435
261	1359	6424
262	1364	6415
263	1367	6402
264	1371	6389
265	1374	6376
266	1378	6366
267	1383	6359
268	1387	6350
269	1391	6339
270	1395	6329
271	1399	6319
272	1404	6310
273	1407	6298
274	1410	6285
275	1414	6275
276	1418	6264
277	1422	6252
278	1425	6239
279	1430	6231
280	1434	6221
281	1438	6211
282	1441	6199
283	1445	6191
284	1449	6181
285	1453	6168
286	1456	6156
287	1460	6145
288	1463	6132
289	1467	6121
290	1471	6113
291	1475	6103
292	1479	6092
293	1482	6082
294	1487	6075
295	1490	6064
296	1495	6055
297	1498	6045
298	1502	6034
299	1505	6021
300	1508	6010
301	1512	5999
302	1515	5987
303	1519	5976
304	1522	5966
305	1527	5958
306	1530	5948
307	1534	5939
308	1539	5932
309	1543	5925
310	1546	5914
311	1550	5903
312	1553	5893
313	1557	5882
314	1561	5872
315	1564	5861
316	1568	5852
317	1572	5844
318	1576	5836
319	1580	5829
320	1587	5831
321	1592	5825
322	1596	5818
323	1600	5810
324	1604	5800
325	1608	5790
326	1611	5780
327	1615	5770
328	1620	5766
329	1623	5757
330	1628	5751
331	1633	5745
332	1637	5738
333	1640	5728
334	1644	5717
335	1647	5707
336	1650	5697
337	1654	5688
338	1658	5678
339	1661	5670
340	1665	5661
341	1670	5655
342	1675	5650
343	1679	5643
344	1683	5635
345	1690	5636
346	1696	5636
347	1701	5632
348	1706	5628
349	1710	5621
350	1716	5618
351	1721	5612
352	1725	5606
353	1730	5600
354	1734	5594
355	1738	5585
356	1741	5576
357	1745	5568
358	1749	5560
359	1752	5551
360	1757	5545
361	1761	5538
362	1765	5531
363	1769	5522
364	1773	5514
365	1777	5508
366	1782	5502
367	1786	5494
368	1789	5485
369	1793	5476
370	1797	5468
371	1800	5459
372	1804	5452
373	1809	5446
374	1813	5441
375	1818	5435
376	1823	5432
377	1827	5423
378	1831	5416
379	1834	5407
380	1838	5400
381	1842	5392
382	1846	5384
383	1850	5377
384	1854	5370
385	1858	5364
386	1863	5358
387	1867	5351
388	1871	5344
389	1875	5337
390	1879	5329
391	1882	5321
392	1886	5312
393	1889	5305
394	1893	5296
395	1896	5288
396	1900	5280
397	1904	5274
398	1908	5266
399	1912	5259
400	1916	5251
401	1919	5243
402	1923	5235
403	1926	5225
404	1930	5219
405	1934	5211
406	1938	5204
407	1942	5199
408	1946	5192
409	1950	5184
410	1954	5178
411	1958	5170
412	1962	5164
413	1965	5156
414	1969	5149
415	1973	5142
416	1977	5134
417	1980	5127
418	1984	5119
419	1987	5110
